Month,alpha,alpha_site,R2_train,RMSE_train,Site
7,1.3681582031250004,1.4024267578125,0.9772106454965457,12.331504181409647,RU-Fyo
8,1.348962890625,1.4024267578125,0.9817806200719483,12.666391805793515,RU-Fyo
9,1.3561611328125003,1.4024267578125,0.9686070791879762,11.069194887323281,RU-Fyo
10,1.687280273437501,1.4024267578125,0.9688594807308976,6.770316952798232,RU-Fyo
11,1.9394033203125014,1.4024267578125,0.9750972819744145,3.029639210591926,RU-Fyo
4,1.8572695312500014,1.4429091796875002,0.914676601030656,6.006831295881913,SE-Deg
5,1.4440166015625002,1.4429091796875002,0.9649038535589192,9.278241379657407,SE-Deg
6,1.4232216796875004,1.4429091796875002,0.9630709020603145,7.044156543670021,SE-Deg
7,1.3025742187500002,1.4429091796875002,0.9782092534872423,4.328806865514933,SE-Deg
8,1.4073486328125004,1.4429091796875002,0.9882955891161397,2.5660522762310967,SE-Deg
9,1.5622646484375005,1.4429091796875002,0.9844919625831579,2.2066570813497886,SE-Deg
10,1.7819033203125012,1.4429091796875002,0.9837864545960252,0.9689417933103613,SE-Deg
1,1.5270117187500003,1.2570468750000001,0.973663200929127,8.318963290883238,US-ARM
2,1.5553125000000003,1.2570468750000001,0.9170254126414972,17.103331146454227,US-ARM
3,1.3471787109375004,1.2570468750000001,0.9848350950124304,14.176130948770291,US-ARM
4,1.3219541015625,1.2570468750000001,0.984701090403804,16.67797833293667,US-ARM
5,1.2644296874999998,1.2570468750000001,0.9921577396271597,12.018594151505022,US-ARM
6,1.197615234375,1.2570468750000001,0.9955249770171967,10.104829252971161,US-ARM
7,1.1732519531249999,1.2570468750000001,0.9972668049602463,8.847898415345881,US-ARM
8,1.2004453124999999,1.2570468750000001,0.9966365305226453,8.444432950428402,US-ARM
9,1.260861328125,1.2570468750000001,0.994015279834174,7.095651134280493,US-ARM
10,1.3142021484375,1.2570468750000001,0.9848933263943956,12.122351714226177,US-ARM
11,1.4463544921875005,1.2570468750000001,0.9677479749042796,11.396923459982624,US-ARM
12,1.5900117187500005,1.2570468750000001,0.9819057200823831,7.548802708907033,US-ARM
1,2.430360351562503,1.2200712890624996,0.9706012984153087,5.374769735367279,US-Bar
2,2.6284658203125044,1.2200712890624996,0.9758658400221479,5.747060383506052,US-Bar
3,1.7506494140625009,1.2200712890624996,0.9851391120448577,7.823653044934246,US-Bar
